Ульяновская область,72984.606,76835.477,77178.184,79461.37,70575.622,84093.664,82923.673,79731.788,81546.083,98322.291,106501.143,120773.672
Курганская область,36212.599,33207.027,32762.339,27842.274,29253.811,22851.232,27150.695,40743.333,44231.492,47180.247,56058.8,71226.874
Свердловская область,351637.262,352916.374,371630.896,349964.064,328402.53,320111.121,378662.02,392686.696,416956.411,420242.859,569580.103,720356.433
Ханты-Мансийский АО,671089.408,718871.448,733866.879,766070.456,799253.271,920187.412,930721.09,986456.304,1006037.275,1056855.855,1328036.703,1552805.983
Ямало-Ненецкий АО,581009.671,603194.354,754186.552,779405.509,1093081.787,1069619.542,1021502.317,943832.98,991793.855,1147020.059,1417860.003,1474235.235
Тюменская область,204858.211,244667.773,248190.685,217380.863,239758.713,301333.992,353633.284,302730.582,300270.894,235569.611,353203.535,329515.201
Челябинская область,192816.356,214963.69,227860.556,217238.089,198289.18,198990.817,254993.174,300880.476,322198.284,326631.03,373241.299,446065.028
Республика Алтай,10741.765,11852.55,13893.321,12184.792,12561.318,12450.238,14783.442,21027.489,14903.968,14703.846,32022.69,48724.556
Республика Тыва,11677.543,13939.462,17794.65,12943.823,10640.126,9988.391,13092.116,18914.727,19303.95,14612.41,22782.028,25369.912
Республика Хакасия,38130.637,32115.882,39585.28,29939.69,27237.011,23842.668,34275.385,32660.981,34675.932,49918.474,51700.995,59863.447
Алтайский край,83853.213,94586.239,99680.489,78538.073,75284.822,87844.002,107151.407,112771.283,121960.596,124875.816,146080.995,179949.477
Красноярский край,381657.432,376903.471,363955.689,396864.928,425931.641,420886.412,421779.977,436406.673,480202.659,592070.61,751962.237,926353.8523900001
Иркутская область,177641.435,200063.404,214421.862,206074.682,247954.167,270018.604,318786.947,366723.743,389990.112,516288.845,845789.975,910223.615
Кемеровская область,267811.533,217711.071,230950.89,170470.45,165665.641,215236.651,248665.342,288407.374,275044.606,340021.712,375379.233,414714.273
Новосибирская область,162170.037,183997.896,193170.657,164439.629,163058.53,175608.676,197113.609,247429.347,265705.908,331104.558,343349.004,380968.566
Омская область,108705.871,105637.804,95360.432,94220.264,93453.298,98658.725,121385.016,172266.656,200449.897,191473.472,194430.759,207952.261
Томская область,108304.44,102732.493,109356.52,104952.646,104385.424,98465.743,96223.045,101716.393,101399.183,107763.975,123553.327,148517.829
Республика Бурятия,41184.487,41986.096,36739.732,36220.356,33445.203,42213.791,48526.943,72830.638,65157.404,72843.354,110065.636,165260.514
